U00096.2	NODE_1_length_288_cov_2.038194
69908	318
70225	1
NA	NA
U00096.2	NODE_2_length_276_cov_1.771739
84148	306
84453	1
NA	NA
U00096.2	NODE_3_length_286_cov_2.034965
13804	1
14119	316
NA	NA
U00096.2	NODE_4_length_301_cov_3.019933
2655628	3
2655801	176
NA	NA
2655808	177
2655955	324
NA	NA
13173	331
13503	1
NA	NA
U00096.2	NODE_5_length_175_cov_1.548571
91309	1
91513	205
NA	NA
U00096.2	NODE_6_length_512_cov_2.654297
8474	542
9015	1
NA	NA
U00096.2	NODE_7_length_649_cov_3.714946
77926	679
78604	1
NA	NA
U00096.2	NODE_8_length_348_cov_1.982759
66216	1
66593	378
NA	NA
3748081	362
3748091	352
NA	NA
3748092	350
3748098	344
NA	NA
3748101	343
3748209	235
NA	NA
3748210	232
3748221	221
NA	NA
3748224	220
3748431	13
NA	NA
U00096.2	NODE_9_length_968_cov_1.780992
61790	998
62787	1
NA	NA
U00096.2	NODE_10_length_77_cov_2.467532
47250	1
47356	107
NA	NA
U00096.2	NODE_11_length_113_cov_2.876106
145	1
287	143
NA	NA
U00096.2	NODE_12_length_250_cov_2.240000
3850319	1
3850554	236
NA	NA
3850555	241
3850563	249
NA	NA
3850569	250
3850585	266
NA	NA
3850586	269
3850588	271
NA	NA
3850590	272
3850598	280
NA	NA
85812	280
86091	1
NA	NA
U00096.2	NODE_13_length_316_cov_2.579114
14419	1
14764	346
NA	NA
U00096.2	NODE_14_length_65_cov_1.415385
65406	95
65500	1
NA	NA
U00096.2	NODE_15_length_181_cov_1.541436
41387	1
41597	211
NA	NA
U00096.2	NODE_16_length_120_cov_2.925000
96716	150
96865	1
NA	NA
U00096.2	NODE_17_length_72_cov_1.569444
79176	1
79277	102
NA	NA
U00096.2	NODE_18_length_93_cov_1.086022
2257	123
2379	1
NA	NA
U00096.2	NODE_19_length_946_cov_2.979915
2512285	1
2513260	976
NA	NA
608549	36
608584	1
NA	NA
U00096.2	NODE_20_length_92_cov_2.608696
2793	1
2914	122
NA	NA
U00096.2	NODE_21_length_260_cov_2.053846
70258	290
70547	1
NA	NA
U00096.2	NODE_22_length_161_cov_1.881988
48145	191
48335	1
NA	NA
U00096.2	NODE_23_length_106_cov_2.471698
76916	1
77051	136
NA	NA
U00096.2	NODE_24_length_81_cov_2.271605
20570	1
20680	111
NA	NA
U00096.2	NODE_25_length_602_cov_7.767442
3581578	1
3582209	632
NA	NA
19805	632
20436	1
NA	NA
U00096.2	NODE_26_length_311_cov_2.623794
3218	341
3558	1
NA	NA
U00096.2	NODE_27_length_135_cov_1.859259
5879	165
6043	1
NA	NA
U00096.2	NODE_28_length_97_cov_2.247423
59040	127
59166	1
NA	NA
U00096.2	NODE_29_length_326_cov_2.570552
22027	356
22382	1
NA	NA
U00096.2	NODE_30_length_546_cov_2.564103
88623	576
89198	1
NA	NA
U00096.2	NODE_31_length_401_cov_3.047382
607219	20
607255	56
NA	NA
16331	431
16761	1
NA	NA
U00096.2	NODE_32_length_291_cov_1.945017
87337	321
87657	1
NA	NA
U00096.2	NODE_33_length_71_cov_2.323944
77064	1
77164	101
NA	NA
U00096.2	NODE_34_length_70_cov_1.828571
95941	1
96040	100
NA	NA
U00096.2	NODE_35_length_240_cov_2.275000
10952	270
11221	1
NA	NA
U00096.2	NODE_36_length_405_cov_2.654321
18563	435
18997	1
NA	NA
U00096.2	NODE_37_length_90_cov_2.977778
4328	1
4447	120
NA	NA
U00096.2	NODE_38_length_501_cov_1.762475
17116	531
17646	1
NA	NA
U00096.2	NODE_39_length_365_cov_2.613699
21518	1
21912	395
NA	NA
U00096.2	NODE_40_length_71_cov_1.915493
34895	101
34995	1
NA	NA
U00096.2	NODE_41_length_161_cov_2.378882
10768	1
10958	191
NA	NA
U00096.2	NODE_42_length_327_cov_2.773700
14777	1
15133	357
NA	NA
U00096.2	NODE_43_length_89_cov_2.516854
92922	1
93040	119
NA	NA
U00096.2	NODE_44_length_423_cov_2.685579
68274	453
68726	1
NA	NA
U00096.2	NODE_45_length_201_cov_2.980099
67082	231
67312	1
NA	NA
U00096.2	NODE_46_length_74_cov_2.770270
19720	1
19823	104
NA	NA
U00096.2	NODE_47_length_64_cov_1.562500
9078	1
9171	94
NA	NA
U00096.2	NODE_48_length_107_cov_1.560748
22791	1
22927	137
NA	NA
U00096.2	NODE_49_length_70_cov_1.857143
9740	100
9839	1
NA	NA
U00096.2	NODE_50_length_218_cov_1.490826
93842	1
94089	248
NA	NA
U00096.2	NODE_51_length_423_cov_2.645390
10163	1
10615	453
NA	NA
U00096.2	NODE_52_length_70_cov_1.485714
32522	100
32621	1
NA	NA
U00096.2	NODE_53_length_491_cov_2.405295
19144	521
19664	1
NA	NA
U00096.2	NODE_54_length_70_cov_2.214286
41865	1
41964	100
NA	NA
U00096.2	NODE_55_length_275_cov_2.032727
82916	1
83220	305
NA	NA
U00096.2	NODE_56_length_70_cov_1.585714
76545	100
76644	1
NA	NA
U00096.2	NODE_57_length_108_cov_1.703704
89409	138
89546	1
NA	NA
U00096.2	NODE_58_length_245_cov_1.885714
79502	275
79776	1
NA	NA
U00096.2	NODE_59_length_70_cov_1.342857
40616	100
40715	1
NA	NA
U00096.2	NODE_60_length_272_cov_1.555147
80063	302
80364	1
NA	NA
U00096.2	NODE_61_length_242_cov_1.599174
92233	1
92504	272
NA	NA
U00096.2	NODE_62_length_94_cov_2.670213
3581453	1
3581576	124
NA	NA
20438	124
20561	1
NA	NA
U00096.2	NODE_63_length_231_cov_2.259740
1775208	143
1775326	261
NA	NA
40280	261
40540	1
NA	NA
U00096.2	NODE_64_length_96_cov_1.447917
91590	126
91715	1
NA	NA
U00096.2	NODE_65_length_225_cov_1.720000
46027	1
46281	255
NA	NA
U00096.2	NODE_66_length_234_cov_1.192308
82558	264
82821	1
NA	NA
U00096.2	NODE_67_length_263_cov_1.802281
28080	1
28372	293
NA	NA
U00096.2	NODE_68_length_84_cov_3.023809
21287	114
21400	1
NA	NA
U00096.2	NODE_69_length_194_cov_1.742268
43821	1
44044	224
NA	NA
U00096.2	NODE_70_length_202_cov_2.975248
89184	1
89415	232
NA	NA
U00096.2	NODE_71_length_659_cov_2.280728
37408	689
38096	1
NA	NA
U00096.2	NODE_72_length_115_cov_2.556522
93048	145
93192	1
NA	NA
U00096.2	NODE_73_length_133_cov_1.947368
72347	163
72509	1
NA	NA
U00096.2	NODE_74_length_99_cov_1.949495
95512	129
95640	1
NA	NA
U00096.2	NODE_75_length_70_cov_2.414286
36842	100
36941	1
NA	NA
U00096.2	NODE_76_length_199_cov_1.718593
85374	229
85602	1
NA	NA
U00096.2	NODE_77_length_125_cov_1.232000
60588	1
60742	155
NA	NA
U00096.2	NODE_78_length_75_cov_2.333333
53607	105
53711	1
NA	NA
U00096.2	NODE_79_length_42_cov_2.523809
5551	23
5600	72
NA	NA
2302439	1
2302452	14
NA	NA
2302458	15
2302482	39
NA	NA
2302496	40
2302528	72
NA	NA
66607	72
66678	1
NA	NA
U00096.2	NODE_80_length_31_cov_1.064516
4315946	1
4316002	57
NA	NA
66661	61
66721	1
NA	NA
U00096.2	NODE_82_length_70_cov_1.857143
64709	1
64808	100
NA	NA
U00096.2	NODE_83_length_342_cov_1.602339
50966	1
51337	372
NA	NA
U00096.2	NODE_84_length_232_cov_1.159483
42764	262
43025	1
NA	NA
U00096.2	NODE_85_length_181_cov_1.430939
65542	1
65752	211
NA	NA
U00096.2	NODE_86_length_113_cov_1.336283
99540	143
99682	1
NA	NA
U00096.2	NODE_87_length_99_cov_1.313131
60110	129
60238	1
NA	NA
U00096.2	NODE_88_length_70_cov_1.400000
64242	100
64341	1
NA	NA
U00096.2	NODE_89_length_88_cov_2.170455
7300	118
7417	1
NA	NA
U00096.2	NODE_90_length_231_cov_2.064935
31579	261
31839	1
NA	NA
U00096.2	NODE_91_length_184_cov_1.820652
46492	1
46705	214
NA	NA
U00096.2	NODE_92_length_480_cov_2.275000
63016	510
63525	1
NA	NA
U00096.2	NODE_93_length_70_cov_1.800000
64329	100
64428	1
NA	NA
U00096.2	NODE_94_length_239_cov_1.380753
78687	269
78955	1
NA	NA
U00096.2	NODE_95_length_114_cov_2.105263
85061	1
85204	144
NA	NA
U00096.2	NODE_96_length_260_cov_1.511539
30588	1
30877	290
NA	NA
U00096.2	NODE_97_length_311_cov_1.787781
75968	341
76308	1
NA	NA
U00096.2	NODE_98_length_285_cov_2.228070
23947	1
24261	315
NA	NA
U00096.2	NODE_99_length_72_cov_3.680556
76821	102
76922	1
NA	NA
U00096.2	NODE_100_length_104_cov_1.384615
22475	1
22608	134
NA	NA
U00096.2	NODE_101_length_325_cov_2.083077
12483	1
12837	355
NA	NA
2656256	355
2656285	326
NA	NA
2656286	319
2656292	313
NA	NA
2656293	311
2656304	300
NA	NA
2656305	294
2656351	248
NA	NA
2656352	245
2656363	234
NA	NA
2656364	232
2656509	87
NA	NA
2656510	83
2656539	54
NA	NA
2656543	53
2656582	14
NA	NA
U00096.2	NODE_102_length_103_cov_1.359223
81103	133
81235	1
NA	NA
U00096.2	NODE_103_length_227_cov_2.986784
33673	257
33929	1
NA	NA
U00096.2	NODE_104_length_322_cov_1.829193
23094	352
23445	1
NA	NA
U00096.2	NODE_105_length_559_cov_3.220036
55754	589
56342	1
NA	NA
U00096.2	NODE_106_length_84_cov_1.880952
22905	1
23018	114
NA	NA
U00096.2	NODE_107_length_194_cov_1.195876
73438	1
73661	224
NA	NA
U00096.2	NODE_108_length_69_cov_1.782609
57170	99
57268	1
NA	NA
U00096.2	NODE_109_length_74_cov_3.081081
54016	104
54119	1
NA	NA
U00096.2	NODE_110_length_118_cov_2.754237
3477892	1
3478039	148
NA	NA
48365	148
48512	1
NA	NA
U00096.2	NODE_111_length_62_cov_2.596774
79749	1
79840	92
NA	NA
U00096.2	NODE_112_length_179_cov_2.106145
94297	209
94505	1
NA	NA
U00096.2	NODE_113_length_125_cov_2.336000
25558	155
25712	1
NA	NA
U00096.2	NODE_114_length_70_cov_1.600000
96285	1
96384	100
NA	NA
U00096.2	NODE_115_length_281_cov_1.896797
29748	311
30058	1
NA	NA
U00096.2	NODE_116_length_91_cov_3.736264
16879	1
16999	121
NA	NA
U00096.2	NODE_117_length_88_cov_2.386364
89885	118
90002	1
NA	NA
U00096.2	NODE_118_length_349_cov_1.848137
35079	1
35457	379
NA	NA
1462513	275
1462787	1
NA	NA
U00096.2	NODE_119_length_247_cov_1.700405
86537	1
86813	277
NA	NA
U00096.2	NODE_120_length_200_cov_1.715000
9195	1
9424	230
NA	NA
U00096.2	NODE_121_length_436_cov_2.149083
24420	466
24885	1
NA	NA
U00096.2	NODE_122_length_78_cov_2.705128
60946	1
61053	108
NA	NA
U00096.2	NODE_123_length_64_cov_2.000000
60384	1
60477	94
NA	NA
U00096.2	NODE_124_length_257_cov_1.587549
32995	1
33281	287
NA	NA
