#zstart1	size2	name1	end1
3848881	33235	U00096.2	3850767
4244890	33235	U00096.2	4245322
4324069	33235	U00096.2	4324169
4458418	33235	U00096.2	4458471
66765	33235	U00096.2	100000
59089	7504	U00096.2	66593
3748080	7504	U00096.2	3748805
0	5592	U00096.2	5592
66614	5592	U00096.2	66656
1049413	61	U00096.2	1049474
278680	61	U00096.2	278741
1049444	14548	U00096.2	1049784
2655430	14548	U00096.2	2656891
3637225	14548	U00096.2	3637314
5571	14548	U00096.2	20119
278384	14548	U00096.2	278710
1976526	14548	U00096.2	1976850
3581577	316	U00096.2	3581893
20120	316	U00096.2	20436
2314908	5332	U00096.2	2315006
3253242	5332	U00096.2	3253346
3581442	5332	U00096.2	3581554
20459	5332	U00096.2	25791
3581863	61	U00096.2	3581924
20089	61	U00096.2	20150
25761	13440	U00096.2	39201
508007	13440	U00096.2	508050
1455791	13440	U00096.2	1456050
1462512	13440	U00096.2	1463033
2252608	13440	U00096.2	2253193
3201161	13440	U00096.2	3201195
3982240	13440	U00096.2	3982276
39171	19911	U00096.2	59082
3476955	19911	U00096.2	3479150
3706343	19911	U00096.2	3706381
4092365	61	U00096.2	4092416
66595	61	U00096.2	66656
