#zstart1	size2	name1	end1
90810	207	U00096.2	91017
7169	248	U00096.2	7417
41138	264	U00096.2	41402
49286	300	U00096.2	49586
53571	432	U00096.2	54003
10162	453	U00096.2	10615
81024	211	U00096.2	81235
92232	359	U00096.2	92591
32280	398	U00096.2	32678
2792	259	U00096.2	3051
88622	1083	U00096.2	89705
9531	209	U00096.2	9740
3560	245	U00096.2	3805
9194	230	U00096.2	9424
67081	231	U00096.2	67312
37407	689	U00096.2	38096
46967	275	U00096.2	47242
3217	341	U00096.2	3558
41386	279	U00096.2	41665
12482	374	U00096.2	12856
2656236	374	U00096.2	2656582
53209	373	U00096.2	53582
31578	261	U00096.2	31839
2108	271	U00096.2	2379
54237	239	U00096.2	54476
33663	418	U00096.2	34081
55753	635	U00096.2	56388
70257	297	U00096.2	70554
42335	351	U00096.2	42686
97494	296	U00096.2	97790
34837	235	U00096.2	35072
75069	351	U00096.2	75420
15376	1409	U00096.2	16785
607181	1409	U00096.2	607255
608548	1409	U00096.2	608584
8473	542	U00096.2	9015
75719	262	U00096.2	75981
13517	235	U00096.2	13752
74219	298	U00096.2	74517
62799	727	U00096.2	63526
59342	227	U00096.2	59569
50965	372	U00096.2	51337
28543	407	U00096.2	28950
82494	327	U00096.2	82821
1775207	261	U00096.2	1775326
40279	261	U00096.2	40540
76387	257	U00096.2	76644
1569	271	U00096.2	1840
36834	266	U00096.2	37100
30587	290	U00096.2	30877
13162	366	U00096.2	13528
2655619	366	U00096.2	2655955
77597	335	U00096.2	77932
21517	408	U00096.2	21925
87135	532	U00096.2	87667
31039	263	U00096.2	31302
38692	272	U00096.2	38964
23093	355	U00096.2	23448
83290	407	U00096.2	83697
38191	215	U00096.2	38406
77925	718	U00096.2	78643
93841	303	U00096.2	94144
698641	276	U00096.2	698727
5589	276	U00096.2	5865
82915	305	U00096.2	83220
59005	341	U00096.2	59346
14418	715	U00096.2	15133
3850318	343	U00096.2	3850648
85748	343	U00096.2	86091
60724	209	U00096.2	60933
50381	284	U00096.2	50665
35963	371	U00096.2	36334
29697	372	U00096.2	30069
13748	426	U00096.2	14174
91307	284	U00096.2	91591
94296	235	U00096.2	94531
60501	241	U00096.2	60742
73430	368	U00096.2	73798
51423	587	U00096.2	52010
19143	521	U00096.2	19664
57015	706	U00096.2	57721
71844	210	U00096.2	72054
479	372	U00096.2	851
49638	243	U00096.2	49881
32994	287	U00096.2	33281
21931	451	U00096.2	22382
79880	484	U00096.2	80364
3581452	842	U00096.2	3582222
19719	842	U00096.2	20561
278384	842	U00096.2	279152
1976526	842	U00096.2	1977292
28079	293	U00096.2	28372
68273	453	U00096.2	68726
48126	387	U00096.2	48513
3477890	387	U00096.2	3478263
81813	302	U00096.2	82115
58650	355	U00096.2	59005
89997	266	U00096.2	90263
30115	474	U00096.2	30589
35069	390	U00096.2	35459
1462512	390	U00096.2	1462794
17115	531	U00096.2	17646
78666	289	U00096.2	78955
85022	364	U00096.2	85386
68722	289	U00096.2	69011
65541	211	U00096.2	65752
85366	368	U00096.2	85734
11777	428	U00096.2	12205
46026	292	U00096.2	46318
79501	347	U00096.2	79848
80553	328	U00096.2	80881
18413	584	U00096.2	18997
46476	229	U00096.2	46705
23870	402	U00096.2	24272
25549	362	U00096.2	25911
3201161	362	U00096.2	3201249
3672403	362	U00096.2	3672496
3982240	362	U00096.2	3982350
61789	1022	U00096.2	62811
42763	262	U00096.2	43025
996	337	U00096.2	1333
6754	219	U00096.2	6973
75967	418	U00096.2	76385
54556	335	U00096.2	54891
34296	259	U00096.2	34555
24419	956	U00096.2	25375
58112	337	U00096.2	58449
86536	277	U00096.2	86813
26056	378	U00096.2	26434
84147	385	U00096.2	84532
69907	355	U00096.2	70262
66144	905	U00096.2	66656
66648	905	U00096.2	66741
5157	905	U00096.2	5712
2302804	905	U00096.2	2302925
3748080	905	U00096.2	3748508
22790	228	U00096.2	23018
64208	220	U00096.2	64428
10754	546	U00096.2	11300
44348	280	U00096.2	44628
43820	224	U00096.2	44044
95703	218	U00096.2	95921
