#zstart1	size2	name1	end1
69907	318	U00096.2	70225
84147	306	U00096.2	84453
13803	316	U00096.2	14119
2655627	331	U00096.2	2655955
13172	331	U00096.2	13503
91308	205	U00096.2	91513
8473	542	U00096.2	9015
77925	679	U00096.2	78604
66215	378	U00096.2	66593
3748080	378	U00096.2	3748431
61789	998	U00096.2	62787
47249	107	U00096.2	47356
144	143	U00096.2	287
3850318	280	U00096.2	3850598
85811	280	U00096.2	86091
14418	346	U00096.2	14764
65405	95	U00096.2	65500
41386	211	U00096.2	41597
96715	150	U00096.2	96865
79175	102	U00096.2	79277
2256	123	U00096.2	2379
2512284	976	U00096.2	2513260
608548	976	U00096.2	608584
2792	122	U00096.2	2914
70257	290	U00096.2	70547
48144	191	U00096.2	48335
76915	136	U00096.2	77051
20569	111	U00096.2	20680
3581577	632	U00096.2	3582209
19804	632	U00096.2	20436
3217	341	U00096.2	3558
5878	165	U00096.2	6043
59039	127	U00096.2	59166
22026	356	U00096.2	22382
88622	576	U00096.2	89198
607218	431	U00096.2	607255
16330	431	U00096.2	16761
87336	321	U00096.2	87657
77063	101	U00096.2	77164
95940	100	U00096.2	96040
10951	270	U00096.2	11221
18562	435	U00096.2	18997
4327	120	U00096.2	4447
17115	531	U00096.2	17646
21517	395	U00096.2	21912
34894	101	U00096.2	34995
10767	191	U00096.2	10958
14776	357	U00096.2	15133
92921	119	U00096.2	93040
68273	453	U00096.2	68726
67081	231	U00096.2	67312
19719	104	U00096.2	19823
9077	94	U00096.2	9171
22790	137	U00096.2	22927
9739	100	U00096.2	9839
93841	248	U00096.2	94089
10162	453	U00096.2	10615
32521	100	U00096.2	32621
19143	521	U00096.2	19664
41864	100	U00096.2	41964
82915	305	U00096.2	83220
76544	100	U00096.2	76644
89408	138	U00096.2	89546
79501	275	U00096.2	79776
40615	100	U00096.2	40715
80062	302	U00096.2	80364
92232	272	U00096.2	92504
3581452	124	U00096.2	3581576
20437	124	U00096.2	20561
1775207	261	U00096.2	1775326
40279	261	U00096.2	40540
91589	126	U00096.2	91715
46026	255	U00096.2	46281
82557	264	U00096.2	82821
28079	293	U00096.2	28372
